Sample,Condition,Electrode,Epoch,Theta_Power
1,3-back,F3,49,9.834517748572739e-11
1,3-back,F3,50,6.291929283058206e-11
1,3-back,F3,51,1.3849703384956228e-10
1,3-back,F3,52,9.354140142929205e-11
1,3-back,F3,53,5.983663204950996e-11
1,3-back,F3,54,1.5703659379089933e-10
1,3-back,F3,55,1.680755771143047e-10
1,3-back,F3,56,1.012733467188727e-10
1,3-back,F3,57,1.8384580171810598e-10
1,3-back,F3,58,2.4112389352145195e-10
1,3-back,F3,59,1.7487344529536896e-10
1,3-back,F4,1,3.464175538784888e-11
1,3-back,F4,2,1.4037185003837265e-10
1,3-back,F4,3,8.026753938053792e-11
1,3-back,F4,4,1.4323984395881778e-10
1,3-back,F4,5,4.0297072827735786e-10
1,3-back,F4,6,8.378599464888884e-11
1,3-back,F4,7,6.167360830694954e-11
1,3-back,F4,8,3.417245991834776e-11
1,3-back,F4,9,5.171073161512133e-11
1,3-back,F4,10,1.7131134883183857e-10
1,3-back,F4,11,2.4149885406398346e-11
1,3-back,F4,12,5.424256207542254e-11
1,3-back,F4,13,1.2547374996294656e-10
1,3-back,F4,14,8.862982169424362e-11
1,3-back,F4,15,6.44259402861131e-11
1,3-back,F4,16,6.267016874988765e-11
1,3-back,F4,17,7.415767620449923e-11
1,3-back,F4,18,4.614472605298686e-11
1,3-back,F4,19,1.9610322967419454e-10
1,3-back,F4,20,5.100866853803066e-11
1,3-back,F4,21,5.101057260501402e-11
1,3-back,F4,22,6.324233604886702e-11
1,3-back,F4,23,1.356391679306448e-10
1,3-back,F4,24,1.0805159716732855e-10
1,3-back,F4,25,6.153708858375764e-11
1,3-back,F4,26,7.455903475136684e-11
1,3-back,F4,27,1.15190718374409e-10
1,3-back,F4,28,7.954615252151322e-11
1,3-back,F4,29,9.262469178835639e-11
1,3-back,F4,30,3.4293023101305e-11
1,3-back,F4,31,1.4186508111220128e-10
1,3-back,F4,32,4.056297336944671e-11
1,3-back,F4,33,9.028573708096385e-11
1,3-back,F4,34,3.421998375762157e-11
1,3-back,F4,35,5.329661696384942e-11
1,3-back,F4,36,7.653050925683024e-11
1,3-back,F4,37,2.2174154736044863e-10
1,3-back,F4,38,3.40317933293849e-11
1,3-back,F4,39,3.591326572073718e-11
1,3-back,F4,40,1.2387670242208303e-10
1,3-back,F4,41,1.4653715777815372e-10
1,3-back,F4,42,2.5363001673509626e-11
1,3-back,F4,43,8.439760985063078e-11
1,3-back,F4,44,1.9703184534547551e-10
1,3-back,F4,45,5.1586320059074604e-11
1,3-back,F4,46,1.711711912428499e-10
1,3-back,F4,47,2.218505836776245e-10
1,3-back,F4,48,9.84104022975055e-11
1,3-back,F4,49,1.101517336057203e-10
1,3-back,F4,50,4.238850511025381e-11
1,3-back,F4,51,8.112986663914415e-11
1,3-back,F4,52,8.247789566179333e-11
1,3-back,F4,53,5.29421485656201e-11
1,3-back,F4,54,7.404454502386484e-11
1,3-back,F4,55,7.008883829016263e-11
1,3-back,F4,56,7.051921893914603e-11
1,3-back,F4,57,3.8042059797429774e-11
1,3-back,F4,58,2.2820359499565866e-10
1,3-back,F4,59,1.4375569210965912e-10
1,3-back,F7,1,1.2079791162536243e-10
1,3-back,F7,2,6.584656841840238e-11
1,3-back,F7,3,1.4711157244281917e-10
